Your message goes here,
"myself","120363045220268590@g.us"
"Hexagon 24 & 25 batch hiring","120363418291416354@g.us"
"Amamma family💐","919937273113-1393597464@g.us"
"Job For Fresher 😍 25 ","120363042095015651@g.us"
"Job For Fresher 😍 38","120363021622423802@g.us"
"Test <> Yuvan","120363402778314142@g.us"
"MU Placement 2025","120363332117028584@g.us"
"Sweethearts","120363039709783445@g.us"
"SWEET FAMILY 👭👫","919937273113-1432715334@g.us"
"Loving Eparis 👑","919930612042-1393582111@g.us"
"Flyy <> GS","120363420175028557@g.us"
"Sisinty raghunadham family.","120363211159229444@g.us"
"Computational Mathematics","120363041991794161@g.us"
"B.Tech 2025 B-MU@Career Supp Centre","120363203655196580@g.us"
"OFF-CAMPUS OPPORTUNITIES","120363336318304834@g.us"
"Our family","919757329321-1357464588@g.us"
"Coschool Backend engineer process- 25 batch","120363423148290950@g.us"
"Hehehe","120363024192924586@g.us"
"Trip?","120363312108722653@g.us"
"Sweeties","919338666330-1590906354@g.us"
"Wife is a machine!😶‍🌫🤫🥲🤭","918886311786-1634824266@g.us"
"🎓INTERNSHIP@IBM🎓","120363134495946328@g.us"
"Nilgiri Block MU 🇮🇳","120363027434887763@g.us"
"Lean Startup Classes (2022) @ MU","120363179645747127@g.us"
"Gifts for sweeya","120363402833608707@g.us"
"Synchron 2025B @ MU for Diversity hiring","120363372478939027@g.us"
"undefined","120363419765586260@g.us"
"My family","120363403247124645@g.us"
"Manjeera Dance Returns 😁💃🏽","120363312877448469@g.us"
"CM 2025","918688573583-1633101985@g.us"
"MU 2025","918125586878-1629191621@g.us"
"very good people kadu","919949936388-1627061722@g.us"
"TCS NQT-MU2025","120363363219286711@g.us"
"MU.Wyreflow.25B","120363419816722750@g.us"
"Cringers","120363021565442096@g.us"
"Social Computing","120363228274845383@g.us"
"New Summer Interns 4 2025","120363335341819775@g.us"
"Neutrinos- 25 batch","120363419456062627@g.us"
"Enzen- 25 batch","120363421192486819@g.us"
"MU25B-ECE & CM Career Guidance & Mentoring","120363233721162913@g.us"
"Trip?","120363399826222545@g.us"
"STUDENT QUERIES","120363330979824051@g.us"
"Outskill- cricket","120363408827019416@g.us"
"MU.Pi Square.25B","120363403516175350@g.us"
"Fio labs-25 batch","120363400418162321@g.us"
"MU Alumni Hyderabad Chapter","120363254302690615@g.us"
"W3 | 2 Day Gen AI Mastermind | 18th - 20th Apr'25","120363416636112184@g.us"
"W6 | 2 Day Gen AI Mastermind | 18th - 20th Apr'25","120363398762816770@g.us"
"W29 | Gen AI Mastermind | 25th - 27th April'25","120363419987414687@g.us"
"Edustation 25B Campus","120363399358550872@g.us"
"OSI digital","120363380809796685@g.us"
"MU.Cognizant.2025B","120363394347350075@g.us"
"Chokho phokho'sssssss....","919078991326-1476022073@g.us"
"Cornerstone Process 11th June 25","120363402843101219@g.us"
"MU.Comviva.24&25","120363400558616549@g.us"
"Algo University 2025 batch ","120363405998884062@g.us"
"MTHREE -2025 Batch","120363408429055426@g.us"
"Oracle Internship n PPO 2025/2026 B Interview","120363333342577438@g.us"
"Eizen Process 25B","120363402632871968@g.us"
"Hivel Process on Tuesday 13th May","120363417295211524@g.us"
"The monkeys","120363392769715567@g.us"
"MU_2025-2","917993617356-1633848237@g.us"
"A5","918299234734-1633275730@g.us"
"Healthedge 2025 b","120363405193187279@g.us"
"SSEV Software Process 25B","120363384948753032@g.us"
"FloBiz Process 25B","120363399290575486@g.us"
"Springworks Process 25B","120363361447958416@g.us"
"🎓","120363401281254393@g.us"
"*check notes* ","120363144207064692@g.us"
"National Kids BLR Gang","120363400266625503@g.us"
"Goldman Sachs 2026 batch","120363335799518727@g.us"
"Centific Remote Work Process","120363400837499897@g.us"
"INTERNSHIP@HACKATHON🚀","120363223457075463@g.us"
"Meesho Process CTC: 50+LPA Process","120363409987893042@g.us"
"PMX Health Process 25B","120363401089201282@g.us"
"S20 | 2 Day Gen AI Mastermind | 23rd - 24th Apr'25","120363399690683020@g.us"
"S17 | 2 Day Gen AI Mastermind | 23rd - 24th Apr'25","120363415252931589@g.us"
"Talenlio 2025 & 2026 batch Campus drive","120363417397989251@g.us"
"TestRigor 25B","120363338810695409@g.us"
"TRAINING & WORKSHOP","120363331464729158@g.us"
"Morphle labs 25 batch","120363419953860722@g.us"
"Qwerty","120363312929229284@g.us"
"Aiden AI Process 25B","120363378488032745@g.us"
"CloudEagle Process 25B","120363389880503057@g.us"
"Techolution Process 25B","120363215676929046@g.us"
"Cornerstone OnDemand Process 25B","120363412380998103@g.us"
"Banglore ","120363391628697934@g.us"
"HashedIn Deloitte 2025 batch","120363381273892796@g.us"
"Flipkart Process 25B","120363418681203925@g.us"
"MU.Magnaquest.25B","120363390596286086@g.us"
"Coding","120363211394352684@g.us"
"Banglore🖤","120363396222748797@g.us"
"Nomiso-:25 batch process","120363409988145704@g.us"
"Broadridge India Process 25B","120363347498365354@g.us"
"Dcube Data Sciences Process 25B","120363397350626194@g.us"
"Blaize 25 batch","120363394392377406@g.us"
"Metro Rail Passenger Traffic","120363217229980615@g.us"
"IT Nova process-25 batch","120363379144762180@g.us"
"BNY Mellon Process ( Only Female)","120363399171328582@g.us"
"Cafe","120363401597377549@g.us"
"MU.ZerocodeHR.25B","120363395995115480@g.us"
"Prodgain 25 batch","120363379378093697@g.us"
"Skypoint Process 25B","120363398253972412@g.us"
"Mytrick Intl Noida 25B","120363396175376226@g.us"
"Original Badri group","120363308182436954@g.us"
"QR please( CSE )","120363068937314364@g.us"
"HSBC Tech 25B Female CSE&AI","120363375142376756@g.us"
"Minfy Process 25B","120363396111554284@g.us"
"Coschool 25 batch","120363392074496552@g.us"
"Zeotap process 25B","120363297809306333@g.us"
"StatWig -25 batch","120363369648030945@g.us"
"Deloitte National Level Gateway-02 25batch","120363372654166477@g.us"
"Ascendion Female 25B","120363388214288306@g.us"
"Internship@ Mahindra University(Batch-24)","120363391182204487@g.us"
"Epiq Process 25B","120363386639261052@g.us"
"Arcadis Process 25B","120363310357508016@g.us"
"Thriving Spring Process- 25 Batch","120363364796865116@g.us"
"Catalog Process 25B","120363305961640852@g.us"
"Myclassboard Process 25B","120363356865754356@g.us"
"ADS Softek Process 25B","120363382069604400@g.us"
"Revolution 25B Campus","120363357580305215@g.us"
"New Year 25💫","120363381787164578@g.us"
"Auropro Process 25B","120363367006579513@g.us"
"Volt Money 25B Process","120363387943143712@g.us"
"Nish Technologies Process 25B","120363381649676751@g.us"
"Jeh AeroSpace Process 25B","120363363621088072@g.us"
"Regal OutSource Process 25B","120363361859818848@g.us"
"VVVINFOTECH- 25 batch","120363365042063798@g.us"
"Orbit Wallet (backed by 100x VC) 25B Process","120363385374544339@g.us"
"Emplay Inc Process 25B","120363346470384654@g.us"
"2018-2019","918639750736-1634638756@g.us"
"Alumni meet 2018-2019 batch","120363303532397687@g.us"
"My Project Students - Fall 2024","120363321793800462@g.us"
"Spaulding Ridge Process 25B","120363359235060196@g.us"
"26th ka plan 😂","120363364301318524@g.us"
"Lokal Process 25B","120363378663460314@g.us"
"Medical Image Analysis by Deep Learning","120363322504448875@g.us"
"Dhan.ai 2025B Campus","120363341818253885@g.us"
"AQ4 25B I2Hire","120363318234158677@g.us"
"Srumika weds Dheeraj 💍👰‍♀️🤵","120363360855314233@g.us"
"Blogvault 25B Jr.SDE","120363374545801343@g.us"
"Ayna Process 25B","120363343335168324@g.us"
"Qc Qr","120363320831888573@g.us"
"Mahindra University| stud","120363294170864069@g.us"
"CG attendace","120363313976073551@g.us"
"API ","120363305170498642@g.us"
"Metro Rail estimation","120363374360008118@g.us"
"Sopra Steria Top 2 Teams","120363376254544444@g.us"
"Computational Genomics 4-1","120363333351451565@g.us"
"eLitmus Process 25B","120363347772846614@g.us"
"🪩 Dance crew 💃🏻🕺🏻","120363361011279532@g.us"
"INTERNSHIP PROGRAM @IIT & @IIM","120363282052106511@g.us"
"Tech Training 2025 batch","120363365223372768@g.us"
"Broadridge Tech Talk - 27th Nov from 2:30-3:30pm","120363369126926442@g.us"
"Drishtee Process 25B","120363343383926542@g.us"
"Weird? Ik ","120363347365187282@g.us"
"Centific Hackathon 25B","120363329531288939@g.us"
"Cg jugaad","120363349482167759@g.us"
"Matrice.ai process 25B","120363297304773354@g.us"
"AeiForia - The Sustainability club","120363261174360476@g.us"
"Atkins 25B Camp (B.Tech.&M.Tech.)","120363347081131303@g.us"
"LnT Campus 25B (B.Tech.&M.Tech.)","120363363029043503@g.us"
"Kirana Club Process 25B","120363360950824448@g.us"
"Accenture On Campus 2025@MU","120363299381378221@g.us"
"Dheeraj & Srumika Cocktail Party #Rajmika 🎉🪩💃","120363318923539490@g.us"
"Uno Minda Process 25&26B","120363332538140369@g.us"
"Byteridge Process 25B","120363333146671754@g.us"
"Futures First 2025B Campus","120363319912456738@g.us"
"General","120363338296185455@g.us"
"BB Advisory Internship Shortlist 4","120363133200671405@g.us"
"RAAPID INC ( SHAIP) Process 25B","120363348044199808@g.us"
"Leucine 25B","120363339693172976@g.us"
"Codebugged Process 25B","120363313733016483@g.us"
"CloudSEK Process 25 B","120363313741845187@g.us"
"QC QR","120363313816028743@g.us"
"8 Counts 💃🕺","120363170499810166@g.us"
"PT25002 | Mahindra University | FACEPrep Club","120363271092229593@g.us"
"IPHIPI 25B Campus","120363328099160227@g.us"
"COMPANY UPDATES","120363332657351890@g.us"
"NWP Hyderabad ","120363027682960861@g.us"
"SM Sangeet - bachelor grp","120363028208080755@g.us"
"Flashmob IWD","120363039282103020@g.us"
"Aether DECO","120363039911347600@g.us"
"8Counts MU","120363042817920496@g.us"
"Lean Startup (Mon) - MU","120363044971698948@g.us"
"AETHER DECOR 2K23","120363071144038364@g.us"
"Reading Indian Short Stories ","120363183769710165@g.us"
"PayPal Process 24B&25B","120363183955643482@g.us"
"Short stories - Group prjoect","120363199833234245@g.us"
"Kicking off","120363212705976288@g.us"
"UMDV INTERNSHIP #131","120363214174778439@g.us"
"Flashmob Airo 2024","120363214439519291@g.us"
"Course Logistics","120363215622324486@g.us"
"Sophos_Cyber Security Session","120363233219131865@g.us"
"Assignment/Project Discussion","120363234774207132@g.us"
"Design team ","120363240427943298@g.us"
"Interesting blogs and articles","120363241663323105@g.us"
"Airbus Aerothon 24B & 25B","120363272904867902@g.us"
"Internship programme IIT/IIM","120363288054857168@g.us"
"Fin Acc","120363301409436200@g.us"
"Internship programme IIT/IIM","120363306505594854@g.us"
"Epiq Global Guest Lecture_24th Sept.24 from 2:45PM-ELT 6","120363336593355717@g.us"
"Table Tennis MEC","917981380664-1578588413@g.us"
"Basketball (freshers)","919100007774-1611731421@g.us"
"Swimming (freshers)","919100007774-1611731899@g.us"
"8Counts","919652602200-1564680860@g.us"
